Tura,Symbol,Koszt,Oblozenie,Koszt w turze
15,r3,1.83*r3**0.95,71,104.989657997283
15,r4,0.145*r4**0.95,0,0
15,r5,0.705*r5**0.95,71,40.4468354579698
15,r6,0.895*r6**0.95,0,0
15,r7,2.85*r7**0.95,0,0
15,r8,0.01*r8**0.95,71,0.573713978127232
15,r9,1.685*r9**0.95,71,96.6708053144386
15,r10,1.875*r10**0.95,0,0
15,r11,2.645*r11**0.95,71,151.747347214653
15,r12,2.835*r12**0.95,0,0
16,f1,1.3*f1**1.03,71,104.891296012750
16,f2,1.3*f2**1.03,213,325.217827131336
16,s1,1.1*s1**1.07,71,105.254123320670
16,s2,1.1*s2**1.07,71,105.254123320670
16,s3,1.1*s3**1.07,71,105.254123320670
16,s4,1.1*s4**1.07,71,105.254123320670
16,m1,1.2*m1**1.05,213,334.179519056127
16,m2,1.2*m2**1.05,71,105.439299557357
16,r1,1.78*r1**0.95,0,0
16,r2,0.195*r2**0.95,213,31.7683921204546
16,r3,1.83*r3**0.95,71,104.989657997283
16,r4,0.145*r4**0.95,0,0
16,r5,0.705*r5**0.95,71,40.4468354579698
16,r6,0.895*r6**0.95,0,0
16,r7,2.85*r7**0.95,0,0
16,r8,0.01*r8**0.95,71,0.573713978127232
16,r9,1.685*r9**0.95,71,96.6708053144386
16,r10,1.875*r10**0.95,0,0
16,r11,2.645*r11**0.95,71,151.747347214653
16,r12,2.835*r12**0.95,0,0
17,f1,1.3*f1**1.03,71,104.891296012750
17,f2,1.3*f2**1.03,213,325.217827131336
17,s1,1.1*s1**1.07,71,105.254123320670
17,s2,1.1*s2**1.07,71,105.254123320670
17,s3,1.1*s3**1.07,71,105.254123320670
17,s4,1.1*s4**1.07,71,105.254123320670
17,m1,1.2*m1**1.05,213,334.179519056127
17,m2,1.2*m2**1.05,71,105.439299557357
17,r1,1.78*r1**0.95,0,0
17,r2,0.195*r2**0.95,213,31.7683921204546
17,r3,1.83*r3**0.95,71,104.989657997283
17,r4,0.145*r4**0.95,0,0
17,r5,0.705*r5**0.95,71,40.4468354579698
17,r6,0.895*r6**0.95,0,0
17,r7,2.85*r7**0.95,0,0
17,r8,0.01*r8**0.95,71,0.573713978127232
17,r9,1.685*r9**0.95,71,96.6708053144386
17,r10,1.875*r10**0.95,0,0
17,r11,2.645*r11**0.95,71,151.747347214653
17,r12,2.835*r12**0.95,0,0
18,f1,1.3*f1**1.03,71,104.891296012750
18,f2,1.3*f2**1.03,213,325.217827131336
18,s1,1.1*s1**1.07,71,105.254123320670
18,s2,1.1*s2**1.07,71,105.254123320670
18,s3,1.1*s3**1.07,71,105.254123320670
18,s4,1.1*s4**1.07,71,105.254123320670
18,m1,1.2*m1**1.05,213,334.179519056127
18,m2,1.2*m2**1.05,71,105.439299557357
18,r1,1.78*r1**0.95,0,0
18,r2,0.195*r2**0.95,213,31.7683921204546
18,r3,1.83*r3**0.95,71,104.989657997283
18,r4,0.145*r4**0.95,0,0
18,r5,0.705*r5**0.95,71,40.4468354579698
18,r6,0.895*r6**0.95,0,0
18,r7,2.85*r7**0.95,0,0
18,r8,0.01*r8**0.95,71,0.573713978127232
18,r9,1.685*r9**0.95,71,96.6708053144386
18,r10,1.875*r10**0.95,0,0
18,r11,2.645*r11**0.95,71,151.747347214653
18,r12,2.835*r12**0.95,0,0
19,f1,1.3*f1**1.03,71,104.891296012750
19,f2,1.3*f2**1.03,213,325.217827131336
19,s1,1.1*s1**1.07,71,105.254123320670
19,s2,1.1*s2**1.07,71,105.254123320670
19,s3,1.1*s3**1.07,71,105.254123320670
19,s4,1.1*s4**1.07,71,105.254123320670
19,m1,1.2*m1**1.05,213,334.179519056127
19,m2,1.2*m2**1.05,71,105.439299557357
19,r1,1.78*r1**0.95,0,0
19,r2,0.195*r2**0.95,213,31.7683921204546
19,r3,1.83*r3**0.95,71,104.989657997283
19,r4,0.145*r4**0.95,0,0
19,r5,0.705*r5**0.95,71,40.4468354579698
19,r6,0.895*r6**0.95,0,0
19,r7,2.85*r7**0.95,0,0
19,r8,0.01*r8**0.95,71,0.573713978127232
19,r9,1.685*r9**0.95,71,96.6708053144386
19,r10,1.875*r10**0.95,0,0
19,r11,2.645*r11**0.95,71,151.747347214653
19,r12,2.835*r12**0.95,0,0
20,f1,1.3*f1**1.03,71,104.891296012750
20,f2,1.3*f2**1.03,213,325.217827131336
20,s1,1.1*s1**1.07,71,105.254123320670
20,s2,1.1*s2**1.07,71,105.254123320670
20,s3,1.1*s3**1.07,71,105.254123320670
20,s4,1.1*s4**1.07,71,105.254123320670
20,m1,1.2*m1**1.05,213,334.179519056127
20,m2,1.2*m2**1.05,71,105.439299557357
20,r1,1.78*r1**0.95,0,0
20,r2,0.195*r2**0.95,213,31.7683921204546
20,r3,1.83*r3**0.95,71,104.989657997283
20,r4,0.145*r4**0.95,0,0
20,r5,0.705*r5**0.95,71,40.4468354579698
20,r6,0.895*r6**0.95,0,0
20,r7,2.85*r7**0.95,0,0
20,r8,0.01*r8**0.95,71,0.573713978127232
20,r9,1.685*r9**0.95,71,96.6708053144386
20,r10,1.875*r10**0.95,0,0
20,r11,2.645*r11**0.95,71,151.747347214653
20,r12,2.835*r12**0.95,0,0
21,f1,1.3*f1**1.03,0,0
21,f2,1.3*f2**1.03,198,301.653590017164
21,s1,1.1*s1**1.07,58,84.7736023326490
21,s2,1.1*s2**1.07,50,72.3253576299455
21,s3,1.1*s3**1.07,90,135.653864445838
21,s4,1.1*s4**1.07,0,0
21,m1,1.2*m1**1.05,148,228.011130158197
21,m2,1.2*m2**1.05,50,72.9625074395195
21,r1,1.78*r1**0.95,0,0
21,r2,0.195*r2**0.95,148,22.4793236911016
21,r3,1.83*r3**0.95,0,0
21,r4,0.145*r4**0.95,50,5.96196615584494
21,r5,0.705*r5**0.95,58,33.3768779682577
21,r6,0.895*r6**0.95,0,0
21,r7,2.85*r7**0.95,0,0
21,r8,0.01*r8**0.95,50,0.411170079713444
21,r9,1.685*r9**0.95,90,121.096136978764
21,r10,1.875*r10**0.95,0,0
21,r11,2.645*r11**0.95,0,0
21,r12,2.835*r12**0.95,0,0
22,f1,1.3*f1**1.03,0,0
